questionCode,skill,level,type,categoryId,difficulty,language,questionText,option1,score1,option2,score2,option3,score3,option4,score4,option5,score5,explanation
EN_GRM_YR7_41,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence contains a subordinate clause?,The dog barked loudly.,0,We stayed inside because it was raining.,1,The children laughed.,0,The sun was shining.,0,None of these above,0,Because it was raining is a subordinate clause introduced by because.
EN_GRM_YR7_42,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,"Which word introduces the subordinate clause in this sentence: 'Although it was late, we continued.'?",Although,1,late,0,continued,0,we,0,None of these above,0,Although is the subordinating conjunction introducing the subordinate clause.
EN_GRM_YR7_43,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence contains two independent clauses joined correctly?,"I finished my homework, I watched television.",0,I finished my homework; I watched television.,1,I finished my homework because; I watched television.,0,I finished; my homework I watched television.,0,None of these above,0,A semicolon correctly joins the two independent clauses.
EN_GRM_YR7_44,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence is correctly punctuated?,"If you finish early, read quietly.",1,"If you finish early read, quietly.",0,"If, you finish early read quietly.",0,"If you finish, early read quietly.",0,None of these above,0,The introductory if-clause is followed by a comma.
EN_GRM_YR7_45,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses a question mark correctly?,I wonder where she went?,0,Where did she go?,1,She asked where did he go?,0,He knew the answer?,0,None of these above,0,Where did she go? is a direct question and needs a question mark.
EN_GRM_YR7_46,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses an exclamation mark appropriately?,What a brilliant goal!,1,I packed my bag!,0,The lesson starts at nine!,0,She has a blue coat!,0,None of these above,0,What a brilliant goal! is an exclamation expressing strong feeling.
EN_GRM_YR7_47,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses quotation marks correctly?,"The teacher said, ""Please open your books.""",1,"The teacher said, Please ""open your books"".",0,"The teacher ""said, Please open your books.""",0,"The teacher said, ""Please open your books"".",0,None of these above,0,"The full spoken sentence is enclosed in quotation marks, with punctuation inside."
EN_GRM_YR7_48,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses a comma to separate items in a list correctly?,"We bought apples bananas, pears and oranges.",0,"We bought apples, bananas, pears and oranges.",1,"We bought, apples bananas pears and oranges.",0,"We bought apples bananas pears, and oranges.",0,None of these above,0,Commas separate the listed items.
EN_GRM_YR7_49,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses a comma correctly after a fronted adverbial?,In the morning we walked to school.,0,"In the morning, we walked to school.",1,"In, the morning we walked to school.",0,"In the morning we, walked to school.",0,None of these above,0,The introductory fronted adverbial In the morning is followed by a comma.
EN_GRM_YR7_50,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence avoids a comma splice?,"The sky darkened, the rain began.",0,The sky darkened; the rain began.,1,The sky; darkened the rain began.,0,"The sky darkened, and, the rain began.",0,None of these above,0,A semicolon can correctly separate the two independent clauses.
EN_GRM_YR7_51,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence is in the present perfect tense?,I have finished my homework.,1,I finished my homework yesterday.,0,I am finishing my homework.,0,I will finish my homework.,0,None of these above,0,Have finished is the present perfect construction.
EN_GRM_YR7_52,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence is in the past perfect tense?,She had left before I arrived.,1,She leaves before I arrive.,0,She is leaving before I arrive.,0,She will leave before I arrive.,0,None of these above,0,Had left is the past perfect form.
EN_GRM_YR7_53,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses the future tense correctly?,We will visit the museum tomorrow.,1,We visited the museum tomorrow.,0,We visiting the museum tomorrow.,0,We have visit the museum tomorrow.,0,None of these above,0,Will visit expresses a future action.
EN_GRM_YR7_54,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct verb: 'Neither of the answers ___ correct.',are,0,were,0,is,1,be,0,None of these above,0,"Neither is treated as singular in this sentence, so is is correct."
EN_GRM_YR7_55,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct verb: 'The list of names ___ on the desk.',are,0,is,1,were,0,have,0,None of these above,0,"The subject is list, which is singular."
EN_GRM_YR7_56,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct verb: 'The children ___ playing outside.',is,0,was,0,are,1,be,0,None of these above,0,"Children is plural, so are is correct."
EN_GRM_YR7_57,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses the past continuous correctly?,I was reading when the phone rang.,1,I were reading when the phone rang.,0,I am reading when the phone rang.,0,I had read when the phone rang.,0,None of these above,0,Was reading describes an ongoing action interrupted by the phone ringing.
EN_GRM_YR7_58,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses the present continuous correctly?,They are studying for the test.,1,They is studying for the test.,0,They studying for the test.,0,They were study for the test.,0,None of these above,0,The present continuous uses are plus the -ing form for they.
EN_GRM_YR7_59,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses the past simple correctly?,We went to York last weekend.,1,We have went to York last weekend.,0,We go to York last weekend.,0,We were go to York last weekend.,0,None of these above,0,Went is the correct past simple form of go.
EN_GRM_YR7_60,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses an irregular past tense correctly?,She buyed a new book.,0,She bought a new book.,1,She buy a new book yesterday.,0,She had buyed a new book.,0,None of these above,0,Bought is the irregular past tense of buy.
EN_GRM_YR7_61,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses a modal verb correctly?,You must finish your work.,1,You must to finish your work.,0,You must finishing your work.,0,You must finished your work.,0,None of these above,0,A modal verb is followed by the base form of the main verb.
EN_GRM_YR7_62,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'should' correctly?,You should revise tonight.,1,You should to revise tonight.,0,You should revising tonight.,0,You should revised tonight.,0,None of these above,0,Should is followed by the base verb revise.
EN_GRM_YR7_63,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'might' correctly?,It might rain later.,1,It might to rain later.,0,It might raining later.,0,It might rained later.,0,None of these above,0,Might is followed by the base verb rain.
EN_GRM_YR7_64,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence is in the passive voice?,The chef cooked the meal.,0,The meal was cooked by the chef.,1,The chef is cooking the meal.,0,The chef will cook the meal.,0,None of these above,0,The meal receives the action in the passive construction was cooked.
EN_GRM_YR7_65,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence changes the active sentence 'The storm damaged the roof' into the passive voice?,The roof was damaged by the storm.,1,The roof damaged the storm.,0,The storm was damaged by the roof.,0,The roof has damage the storm.,0,None of these above,0,The object of the active sentence becomes the subject of the passive sentence.
EN_GRM_YR7_66,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence correctly uses 'has'?,She have finished her work.,0,She has finished her work.,1,She has finish her work.,0,She having finished her work.,0,None of these above,0,"She takes has, followed by the past participle finished."
EN_GRM_YR7_67,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence correctly uses 'have'?,They has finished their work.,0,They have finished their work.,1,They have finish their work.,0,They having finished their work.,0,None of these above,0,"They takes have, followed by the past participle finished."
EN_GRM_YR7_68,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence correctly uses 'did' in a question?,Did you see the film?,1,Did you saw the film?,0,Did you seen the film?,0,Did you seeing the film?,0,None of these above,0,"After did, the main verb is in the base form: see."
EN_GRM_YR7_69,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence correctly uses 'does'?,Does she likes music?,0,Does she like music?,1,Does she liking music?,0,Does she liked music?,0,None of these above,0,"After does, the main verb remains in the base form."
EN_GRM_YR7_70,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence correctly uses 'used to'?,I used to walk to school.,1,I use to walked to school.,0,I used to walking to school.,0,I use to walk to school yesterday.,0,None of these above,0,Used to is followed by the base verb to describe a past habit.
EN_GRM_YR7_71,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which word is a pronoun in the sentence 'They waited outside'?,waited,0,outside,0,They,1,the,0,None of these above,0,They is a pronoun replacing a noun or noun phrase.
EN_GRM_YR7_72,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct pronoun: 'Sam and ___ went to the library.',me,0,I,1,my,0,mine,0,None of these above,0,I is the subject pronoun needed before went.
EN_GRM_YR7_73,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct pronoun: 'The teacher spoke to Alex and ___.',I,0,me,1,my,0,mine,0,None of these above,0,Me is the object pronoun after the preposition to.
EN_GRM_YR7_74,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct possessive determiner: '___ book is on the desk.',Me,0,My,1,Mine,0,I,0,None of these above,0,My is a possessive determiner used before a noun.
EN_GRM_YR7_75,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct possessive pronoun: 'The blue bag is ___.',my,0,mine,1,me,0,I,0,None of these above,0,Mine can stand alone as a possessive pronoun.
EN_GRM_YR7_76,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'they're' correctly?,Their going to the park.,0,They're going to the park.,1,There going to the park.,0,Their are going to the park.,0,None of these above,0,They're is the contraction of they are.
EN_GRM_YR7_77,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'there' correctly?,Put the books over their.,0,Put the books over they're.,0,Put the books over there.,1,Put the books over their're.,0,None of these above,0,There refers to a place.
EN_GRM_YR7_78,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'their' correctly?,The pupils packed their bags.,1,The pupils packed they're bags.,0,The pupils packed there bags.,0,The pupils packed theirs bags.,0,None of these above,0,Their is the possessive determiner before bags.
EN_GRM_YR7_79,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct article: 'She adopted ___ unusual pet.',a,0,an,1,the,0,no article,0,None of these above,0,"An is used before a vowel sound, and unusual begins with a vowel sound."
EN_GRM_YR7_80,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct article: 'He waited for ___ hour.',a,0,an,1,the,0,no article,0,None of these above,0,"Hour begins with a vowel sound, so an is used."
EN_GRM_YR7_81,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct determiner: 'There aren't ___ apples left.',much,0,many,1,little,0,a little,0,None of these above,0,Many is used with countable plural nouns such as apples.
EN_GRM_YR7_82,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct determiner: 'There isn't ___ milk left.',many,0,few,0,much,1,several,0,None of these above,0,Much is used with uncountable nouns such as milk.
EN_GRM_YR7_83,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence correctly treats 'team' as a single unit?,The team is winning every match.,1,The team are winning every match.,0,The team be winning every match.,0,The team winning every match.,0,None of these above,0,"When the team is explicitly treated as one unit, the singular verb is is appropriate."
EN_GRM_YR7_84,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence has correct agreement?,Each of the pupils have a locker.,0,Each of the pupils has a locker.,1,Each of the pupils having a locker.,0,Each of the pupils are a locker.,0,None of these above,0,Each is singular and takes has.
EN_GRM_YR7_85,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'everyone' correctly?,Everyone have a ticket.,0,Everyone has a ticket.,1,Everyone are having a ticket.,0,Everyone have got a ticket.,0,None of these above,0,Everyone is grammatically singular and takes has.
EN_GRM_YR7_86,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'fewer' correctly?,There are fewer cars on the road today.,1,There is fewer traffic today.,0,We need fewer water.,0,She has fewer patience.,0,None of these above,0,Fewer is normally used with countable plural nouns such as cars.
EN_GRM_YR7_87,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'less' correctly?,There are less books on the shelf.,0,There is less water in the bottle.,1,There are less pupils today.,0,I bought less apples.,0,None of these above,0,Less is used with uncountable nouns such as water.
EN_GRM_YR7_88,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'each' correctly?,Each student have a pencil.,0,Each student has a pencil.,1,Each students has a pencil.,0,Each student having a pencil.,0,None of these above,0,"Each is singular, so the singular verb has is required."
EN_GRM_YR7_89,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses a countable noun correctly?,I need some advice.,0,I need two pieces of advice.,1,I need two advices.,0,I need an advice.,0,None of these above,0,Advice is uncountable; two pieces of advice is the standard form.
EN_GRM_YR7_90,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'information' correctly?,She gave me three informations.,0,She gave me three pieces of information.,1,She gave me an informations.,0,She gave me many information.,0,None of these above,0,"Information is uncountable, so pieces of information is used for separate items."
EN_GRM_YR7_91,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses a collective noun correctly?,The flock of birds flew south.,1,The flock of birds flyed south.,0,The flock of birds flying south.,0,The flock of birds have flew south.,0,None of these above,0,Flock is a collective noun and flew is the correct past form.
EN_GRM_YR7_92,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses a reflexive pronoun correctly?,I made the cake myself.,1,I made the cake meself.,0,I made the cake mine.,0,I made the cake me.,0,None of these above,0,Myself correctly refers back to the subject I.
EN_GRM_YR7_93,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses a demonstrative pronoun correctly?,This are my shoes.,0,These are my shoes.,1,These is my shoes.,0,This be my shoes.,0,None of these above,0,These is the plural demonstrative pronoun used with shoes.
EN_GRM_YR7_94,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which word is an adjective in 'The enormous elephant walked slowly'?,enormous,1,elephant,0,walked,0,slowly,0,None of these above,0,Enormous describes the noun elephant.
EN_GRM_YR7_95,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which word is an adverb in 'The athlete ran quickly'?,athlete,0,ran,0,quickly,1,the,0,None of these above,0,Quickly describes how the athlete ran.
EN_GRM_YR7_96,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct comparative form: 'This book is ___ than that one.',interesting,0,more interesting,1,most interesting,0,interestingly,0,None of these above,0,More interesting is the comparative form.
EN_GRM_YR7_97,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct superlative form: 'That was the ___ film I have seen.',more exciting,0,exciting,0,most exciting,1,excited,0,None of these above,0,Most exciting is the superlative form.
EN_GRM_YR7_98,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'good' and 'well' correctly?,She sings good.,0,She sings well.,1,She is a well singer.,0,She sings bestly.,0,None of these above,0,Well is the adverb used to describe how she sings.
EN_GRM_YR7_99,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct preposition: 'The keys are ___ the table.',on,1,at,0,to,0,by,0,None of these above,0,On indicates the keys are positioned on the surface of the table.
EN_GRM_YR7_100,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct preposition: 'We arrived ___ the station at six.',on,0,at,1,to,0,in,0,None of these above,0,At is commonly used with specific points or places such as a station.
EN_GRM_YR7_101,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct preposition: 'She is interested ___ science.',on,0,at,0,in,1,to,0,None of these above,0,The standard phrase is interested in.
EN_GRM_YR7_102,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct conjunction: 'I stayed indoors ___ it was raining.',because,1,but,0,or,0,although,0,None of these above,0,Because introduces the reason for staying indoors.
EN_GRM_YR7_103,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,"Choose the correct conjunction: 'I wanted to go, ___ I was too tired.'",and,0,but,1,or,0,so,0,None of these above,0,But shows contrast between wanting to go and being too tired.
EN_GRM_YR7_104,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct conjunction: 'You can have tea ___ coffee.',but,0,because,0,or,1,although,0,None of these above,0,Or presents alternatives.
EN_GRM_YR7_105,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,"Choose the correct conjunction: 'It was cold, ___ we wore coats.'",so,1,but,0,or,0,unless,0,None of these above,0,So introduces the result of it being cold.
EN_GRM_YR7_106,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'although' correctly?,"Although it was raining, we went outside.",1,"Although it was raining, but we went outside.",0,Although it was raining so we went outside.,0,"Although because it was raining, we went outside.",0,None of these above,0,Although introduces a contrast and does not need but in the same clause.
EN_GRM_YR7_107,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'unless' correctly?,You will miss the bus unless you hurry.,1,You will miss the bus unless you will hurry.,0,You will miss the bus unless you hurried tomorrow.,0,You will miss the bus unless to hurry.,0,None of these above,0,Unless means if not and is followed by the present tense in this future condition.
EN_GRM_YR7_108,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses an adverbial phrase correctly?,He completed the task with great care.,1,He completed the task great careful.,0,He completed the task careful great.,0,He completed the task with care great.,0,None of these above,0,With great care is an adverbial phrase explaining how the task was completed.
EN_GRM_YR7_109,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence contains a prepositional phrase?,The cat slept under the table.,1,The cat slept quietly.,0,The cat slept.,0,The cat was sleepy.,0,None of these above,0,Under the table is a prepositional phrase.
EN_GRM_YR7_110,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'than' correctly?,My sister is taller then me.,0,My sister is taller than me.,1,My sister is more tall then me.,0,My sister is tallest than me.,0,None of these above,0,Than is used when making a comparison.
EN_GRM_YR7_111,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'then' correctly?,"First finish your work, then you can play.",1,"First finish your work, than you can play.",0,"First finish your work, than you could play.",0,"First finish your work, then than you can play.",0,None of these above,0,Then indicates what happens next in time.
EN_GRM_YR7_112,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'between' correctly?,The choice is between tea and coffee.,1,The choice is between tea or coffee.,0,The choice is among tea and coffee.,0,The choice is between tea to coffee.,0,None of these above,0,Between is used for a relationship involving two choices here.
EN_GRM_YR7_113,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'among' correctly?,She shared the sweets among the five children.,1,She shared the sweets among the two children.,0,She shared the sweets between the five children.,0,She shared the sweets among to five children.,0,None of these above,0,Among is commonly used when something is distributed within a group.
EN_GRM_YR7_114,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence is a compound sentence?,"Although it was raining, we played.",0,"The bell rang, and the pupils left.",1,"Running quickly, he caught the bus.",0,The noisy pupils laughed.,0,None of these above,0,The second sentence joins two main clauses with and.
EN_GRM_YR7_115,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence is a complex sentence?,The sun shone.,0,"The sun shone, and we went outside.",0,"Because the sun shone, we went outside.",1,The bright sun.,0,None of these above,0,Because the sun shone is a subordinate clause joined to a main clause.
EN_GRM_YR7_116,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence is interrogative?,Close the door.,0,What time does the lesson start?,1,The lesson starts at nine.,0,What a long lesson!,0,None of these above,0,An interrogative sentence asks a question.
EN_GRM_YR7_117,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence is imperative?,Please close the door.,1,Did you close the door?,0,The door is closed.,0,What a heavy door!,0,None of these above,0,An imperative gives a command or instruction.
EN_GRM_YR7_118,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence is exclamatory?,The cake is delicious.,0,Is the cake delicious?,0,What a delicious cake!,1,Please eat the cake.,0,None of these above,0,What a delicious cake! expresses strong feeling.
EN_GRM_YR7_119,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence is declarative?,Where are you going?,0,Please sit down.,0,The train leaves at six.,1,What an exciting trip!,0,None of these above,0,A declarative sentence makes a statement.
EN_GRM_YR7_120,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which reported speech sentence is correct?,"Tom said, ""I am tired.""",0,Tom said that I am tired.,0,Tom said that he was tired.,1,Tom said that he is tired yesterday.,0,None of these above,0,"In reported speech, I changes to he and am commonly shifts to was when reporting in the past."
EN_GRM_YR7_121,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which direct speech sentence correctly reports: Sarah said that she was hungry?,"Sarah said, ""I am hungry.""",1,"Sarah said, ""She is hungry.""",0,"Sarah said, ""I was hungry.""",0,"Sarah said, ""You are hungry.""",0,None of these above,0,The speaker Sarah would use I when speaking directly.
EN_GRM_YR7_122,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses a relative pronoun correctly?,The boy which won the race smiled.,0,The boy who won the race smiled.,1,The boy where won the race smiled.,0,The boy when won the race smiled.,0,None of these above,0,Who is used for people.
EN_GRM_YR7_123,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'which' correctly?,The car which I bought is blue.,1,The car who I bought is blue.,0,The car where I bought is blue.,0,The car whom I bought is blue.,0,None of these above,0,Which can refer to a thing such as a car.
EN_GRM_YR7_124,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'whose' correctly?,The girl whose bag was lost is here.,1,The girl who's bag was lost is here.,0,The girl which bag was lost is here.,0,The girl who bag was lost is here.,0,None of these above,0,Whose shows possession in a relative clause.
EN_GRM_YR7_125,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses 'whom' correctly in formal English?,Whom did you invite to the party?,1,Whom is coming to the party?,0,Whom ate the cake?,0,Whom runs fastest?,0,None of these above,0,Whom is used as the object of invite in formal English.
EN_GRM_YR7_126,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence contains a dangling modifier?,"Walking to school, I saw a rainbow.",0,"Walking to school, the rainbow appeared.",1,I saw a rainbow while walking to school.,0,"While I walked to school, I saw a rainbow.",0,None of these above,0,The opening phrase Walking to school incorrectly appears to modify the rainbow.
EN_GRM_YR7_127,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence avoids a misplaced modifier?,She almost finished all the homework.,0,She finished almost all the homework.,1,She finished all almost the homework.,0,Almost she finished all the homework.,0,None of these above,0,Almost correctly modifies all in the phrase almost all the homework.
EN_GRM_YR7_128,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses parallel structure correctly?,"She likes reading, swimming and cycling.",1,"She likes reading, to swim and cycling.",0,"She likes to read, swimming and to cycle.",0,"She likes read, swimming and cycling.",0,None of these above,0,The three activities use the same -ing form.
EN_GRM_YR7_129,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses a gerund correctly?,Swimming is good exercise.,1,Swim is good exercise.,0,To swimming is good exercise.,0,Swimming are good exercise.,0,None of these above,0,"Swimming functions as a gerund, acting as the subject of the sentence."
EN_GRM_YR7_130,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses an infinitive correctly?,I want to learn French.,1,I want learning French.,0,I want learn French.,0,I wanting to learn French.,0,None of these above,0,The infinitive is to learn.
EN_GRM_YR7_131,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses a conditional correctly?,"If I had time, I would help you.",1,"If I will have time, I would help you.",0,"If I had time, I will helped you.",0,"If I have had time, I would helped you.",0,None of these above,0,"This is a standard second conditional: if + past simple, would + base verb."
